filename, language, Markdown, JSON, Properties, JavaScript, Shell Script, TypeScript React, TypeScript, Nunjucks, SCSS, XML, Log, comment, blank, total
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/index.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/leftBar/index.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/leftBar/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/rightBar/index.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/rightBar/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/logo.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/base.tsx, TypeScript React, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 13, 56
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/button/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/calendar/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/card/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/chart/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 6, 29
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/col/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/form/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 289, 0, 0, 0, 0, 0, 0, 15, 304
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/input/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 7, 42
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/label/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/list/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/menu/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 7, 49
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/row/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 6, 29
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/switch/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/table/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 8, 55
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/decorators.ts, TypeScript, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 1, 8, 73
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/index.ts, TypeScript, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 3, 51
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/pages/home/index.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 8, 35
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/pages/home/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 1, 4, 56
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/pages/login/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/pages/project/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/react-app-env.d.ts, TypeScript, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 3, 14, 65
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/helper.ts, TypeScript, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 11, 57
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/hocs/styleHOC.tsx, TypeScript React, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/index.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/index.tsx, TypeScript React, 0, 0, 0, 0, 0, 228, 0, 0, 0, 0, 0, 1, 19, 248
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/material.tsx, TypeScript React, 0, 0, 0, 0, 0, 405, 0, 0, 0, 0, 0, 0, 31, 436
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/mhoc.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/store/renderAction.ts, TypeScript, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 7, 121
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/store/renderReducer.ts, TypeScript, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 8, 153
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/store/renderStore.ts, TypeScript, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/serviceWorker.ts, TypeScript, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 31, 15, 125
/Users/cuijinyu/Documents/website-builder/website-builder-client/src/setupTests.ts, TypeScript, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
/Users/cuijinyu/Documents/website-builder/website-builder-client/tsconfig.json, JSON, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
/Users/cuijinyu/Documents/website-builder/website-builder-client/yarn-error.log, Log, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11355, 0, 1692, 13047
Total, -, 5, 330, 6, 1055, 1, 3456, 1581, 38, 925, 7, 11355, 811, 2645, 22215
